center,left,right,steering,throttle,brake,speed
IMG/center_2016_12_26_22_58_35_831.jpg, IMG/left_2016_12_26_22_58_35_831.jpg, IMG/right_2016_12_26_22_58_35_831.jpg, 0, 0, 0, 7.88344E-05
IMG/center_2016_12_26_22_58_37_124.jpg, IMG/left_2016_12_26_22_58_37_124.jpg, IMG/right_2016_12_26_22_58_37_124.jpg, 0, 0, 0, 7.833242E-05
IMG/center_2016_12_26_22_58_37_231.jpg, IMG/left_2016_12_26_22_58_37_231.jpg, IMG/right_2016_12_26_22_58_37_231.jpg, 0, 0, 0, 8.174961E-05
IMG/center_2016_12_26_22_58_37_335.jpg, IMG/left_2016_12_26_22_58_37_335.jpg, IMG/right_2016_12_26_22_58_37_335.jpg, -0.03171144, 0.235052, 0, 0.1061837
IMG/center_2016_12_26_22_58_37_436.jpg, IMG/left_2016_12_26_22_58_37_436.jpg, IMG/right_2016_12_26_22_58_37_436.jpg, -0.2931493, 0.7966594, 0, 0.6950737
IMG/center_2016_12_26_22_58_37_539.jpg, IMG/left_2016_12_26_22_58_37_539.jpg, IMG/right_2016_12_26_22_58_37_539.jpg, -0.3802953, 0.8741225, 0, 1.741981
IMG/center_2016_12_26_22_58_37_641.jpg, IMG/left_2016_12_26_22_58_37_641.jpg, IMG/right_2016_12_26_22_58_37_641.jpg, -0.3899783, 0.8450738, 0, 2.777362
IMG/center_2016_12_26_22_58_37_750.jpg, IMG/left_2016_12_26_22_58_37_750.jpg, IMG/right_2016_12_26_22_58_37_750.jpg, -0.3415638, 0.7772936, 0, 3.712174
IMG/center_2016_12_26_22_58_37_853.jpg, IMG/left_2016_12_26_22_58_37_853.jpg, IMG/right_2016_12_26_22_58_37_853.jpg, -0.3318809, 0.7288792, 0, 4.732391
IMG/center_2016_12_26_22_58_37_966.jpg, IMG/left_2016_12_26_22_58_37_966.jpg, IMG/right_2016_12_26_22_58_37_966.jpg, -0.3125151, 0.6901477, 0, 5.519705
IMG/center_2016_12_26_22_58_38_078.jpg, IMG/left_2016_12_26_22_58_38_078.jpg, IMG/right_2016_12_26_22_58_38_078.jpg, -0.2931493, 0.661099, 0, 6.398399
IMG/center_2016_12_26_22_58_38_200.jpg, IMG/left_2016_12_26_22_58_38_200.jpg, IMG/right_2016_12_26_22_58_38_200.jpg, -0.2931493, 0.661099, 0, 7.278185
